b0,b1,b2,b3,z.sd,phi.ROS,z
2.71165,-0.566468,0.750527,0.0850464,1.02977,9.13687,-0.582693205
2.75189,-0.629287,0.787807,0.15866,0.800966,7.09328,0.337844685
2.77616,-0.772439,0.779946,0.0454597,0.778641,9.87891,1.683748978
2.83696,-0.798622,0.811245,0.0552507,0.859598,11.8536,0.60279825
2.76918,-0.843258,0.859372,0.0936608,1.0536,16.0304,-0.17241748
2.94736,-0.851643,0.888812,0.00424501,0.942245,15.4533,0.915528151
2.9968,-0.863772,0.722035,0.0787609,0.9125,14.6117,-0.10678915
2.94278,-0.773307,0.722543,-0.00411007,0.924532,11.2525,-0.037222336
2.8845,-0.75444,0.660067,0.108677,0.776295,6.81259,-0.443373604
2.78126,-0.798377,0.598378,0.251457,0.929568,10.2859,0.019765076
2.77301,-0.813258,0.587453,0.196958,0.774693,7.18213,0.991533665
2.73868,-0.742923,0.71353,0.427368,0.897572,13.1893,0.81959279
2.68257,-0.814584,0.702468,0.332264,0.92355,10.4137,-0.454114622
2.77908,-0.752165,0.770666,0.290014,0.901354,7.01873,0.883103528
2.763,-0.77646,0.628697,0.260855,1.02576,10.3728,-0.565459269
2.71643,-0.804612,0.605192,0.187869,0.893307,8.60658,-0.020015919
2.90223,-0.727368,0.562521,0.166615,0.906905,10.0553,-0.441059981
2.85998,-0.734604,0.639908,0.148016,0.864243,9.0668,1.698711812
2.72309,-0.666251,0.814705,-0.0537249,0.977372,9.99408,1.230791778
2.76277,-0.53498,0.851816,0.00527697,0.797599,6.34751,-0.763555817
2.71028,-0.567143,0.742145,-0.0636693,0.924827,5.17448,1.190369152
2.84122,-0.489057,0.815468,-0.0753069,0.99335,11.0485,1.043213218
2.94205,-0.513174,0.78325,-0.0732573,1.24416,9.96142,0.155230382
3.06712,-0.612594,0.735441,-0.0698208,1.21515,10.8683,0.68952387
2.94117,-0.519703,0.617342,-0.0422029,0.807859,7.42405,0.682963218
2.88489,-0.593619,0.70994,-0.0130183,0.99935,10.8351,0.709164304
2.82947,-0.58277,0.905299,-0.0563934,0.938741,12.8114,0.334535532
2.94464,-0.611827,0.955096,-0.0133157,0.8977,11.6936,-0.445984329
2.90632,-0.62002,0.810314,0.110205,0.953662,12.1346,2.531599853
2.74446,-0.553411,0.717159,0.0655453,0.993887,6.05657,0.877963981
2.761,-0.580237,0.645052,0.286333,0.770166,7.09308,-0.454270308
2.87203,-0.750712,0.702355,0.292893,0.947539,7.02789,-0.769360792
3.0327,-0.782544,0.57445,0.336992,1.04896,7.56418,0.19644234
2.91734,-0.691145,0.496807,0.283449,1.04921,6.82426,0.274097171
2.75856,-0.686359,0.610651,0.242497,1.15576,11.0995,0.078715802
2.94888,-0.672118,0.724167,0.39744,0.83684,10.5783,-0.344878974
2.82271,-0.800272,0.707658,0.353125,0.872253,12.4649,0.117163635
2.8664,-0.715075,0.794131,0.478477,0.923326,13.7542,0.036724773
2.90458,-0.723984,0.690238,0.33421,1.00427,12.2975,-0.914349507
3.00731,-0.846513,0.760545,0.298875,1.01693,16.5554,0.405036749
3.04333,-0.849594,0.71651,0.235775,1.1172,16.1364,-0.833729148
3.08458,-0.807266,0.696764,0.0981756,0.972715,12.3648,-0.007832545
3.1326,-0.71456,0.611878,0.190924,1.08707,9.51742,-1.810760054
3.15691,-0.832976,0.685018,0.0885669,1.04132,13.0572,-0.421524673
3.03428,-0.608312,0.721457,0.0626899,0.999456,12.7455,-0.629712545
3.11453,-0.619156,0.811661,0.126563,1.1125,10.0179,-0.245649592
2.99239,-0.492338,0.68999,0.16954,0.990706,7.74058,-1.077049414
2.98916,-0.652152,0.780805,0.121006,0.996098,9.71927,1.149980718
3.03622,-0.727662,0.792282,0.120938,0.945109,10.1752,0.533859672
3.01171,-0.65083,0.636728,0.0205173,0.901578,6.58339,-0.604536268
2.98866,-0.674391,0.505636,0.255824,1.02788,9.77898,0.412574986
2.94532,-0.749504,0.359126,0.270169,1.02651,13.4335,-0.264109947
